Marital status,Application mode,Application order,Course,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,situacao,idade_ingresso,bolsista,turno,sexo
"
1",1.0,1.0,9670.0,1.0,139.0,1.0,38.0,19.0,5.0,7.0,130.6,1.0,0.0,0.0,1.0,18.0,0.0,0.0,6.0,6.0,6.0,12.333333333333334,0.0,0.0,6.0,7.0,5.0,14.2,0.0,13.9,-0.3,0.79,Sucesso,18.0,Não,Diurno,Feminino
"
1",1.0,1.0,9500.0,1.0,136.0,1.0,19.0,38.0,9.0,9.0,119.3,1.0,0.0,0.0,1.0,18.0,0.0,0.0,8.0,8.0,7.0,13.214285714285714,0.0,0.0,8.0,8.0,7.0,13.214285714285714,0.0,12.7,3.7,-1.7,Sucesso,18.0,Sim,Diurno,Feminino
"
1",1.0,2.0,9853.0,1.0,133.0,1.0,19.0,37.0,4.0,9.0,130.2,1.0,0.0,0.0,1.0,19.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,12.7,3.7,-1.7,Abandono,19.0,Não,Diurno,Feminino
"
1",53.0,1.0,9254.0,42.0,110.0,1.0,1.0,1.0,4.0,7.0,111.8,1.0,0.0,0.0,1.0,21.0,0.0,0.0,6.0,7.0,6.0,10.571428571428571,0.0,0.0,6.0,8.0,5.0,11.0,0.0,8.9,1.4,3.51,Sucesso,21.0,Sim,Diurno,Feminino
"
1",1.0,1.0,9085.0,1.0,149.0,1.0,38.0,37.0,5.0,5.0,137.1,1.0,0.0,0.0,1.0,18.0,0.0,0.0,5.0,7.0,4.0,13.25,0.0,0.0,5.0,5.0,5.0,12.0,0.0,10.8,1.4,1.74,Sucesso,18.0,Sim,Diurno,Feminino
"
1",1.0,1.0,9773.0,1.0,127.0,1.0,19.0,37.0,9.0,3.0,120.7,1.0,0.0,0.0,1.0,20.0,0.0,0.0,6.0,6.0,5.0,13.2,0.0,0.0,6.0,7.0,0.0,0.0,0.0,15.5,2.8,-4.06,Abandono,20.0,Não,Diurno,Feminino
"
1",17.0,2.0,9500.0,1.0,135.0,1.0,19.0,1.0,5.0,4.0,127.3,1.0,0.0,0.0,1.0,18.0,0.0,0.0,7.0,8.0,7.0,13.30625,0.0,0.0,8.0,8.0,8.0,14.545,0.0,15.5,2.8,-4.06,Sucesso,18.0,Não,Diurno,Feminino
"
1",1.0,1.0,9130.0,1.0,137.0,1.0,3.0,19.0,3.0,5.0,136.3,1.0,0.0,0.0,1.0,20.0,0.0,0.0,5.0,8.0,4.0,12.5,1.0,0.0,5.0,8.0,4.0,12.25,2.0,10.8,1.4,1.74,Sucesso,20.0,Não,Diurno,Feminino
"
1",1.0,3.0,171.0,1.0,122.0,1.0,1.0,1.0,9.0,8.0,120.3,0.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.6,2.02,Sucesso,21.0,Sim,Diurno,Feminino
"
1",1.0,4.0,9500.0,1.0,142.0,1.0,19.0,19.0,1.0,1.0,125.5,1.0,0.0,0.0,1.0,18.0,0.0,0.0,8.0,12.0,7.0,12.857142857142858,0.0,0.0,8.0,12.0,7.0,12.857142857142858,0.0,12.7,3.7,-1.7,Sucesso,18.0,Não,Diurno,Feminino
"
1",1.0,4.0,9670.0,1.0,125.0,1.0,1.0,38.0,4.0,7.0,114.9,1.0,0.0,0.0,1.0,19.0,0.0,0.0,6.0,8.0,6.0,13.375,0.0,0.0,6.0,7.0,6.0,12.285714285714286,0.0,11.1,0.6,2.02,Sucesso,19.0,Sim,Diurno,Feminino
"
1",1.0,1.0,9500.0,1.0,126.0,1.0,19.0,19.0,3.0,7.0,123.9,0.0,0.0,0.0,1.0,19.0,0.0,0.0,7.0,8.0,6.0,13.296666666666669,0.0,0.0,8.0,9.0,7.0,14.114285714285714,0.0,11.1,0.6,2.02,Sucesso,19.0,Não,Diurno,Feminino
"
1",17.0,2.0,9238.0,1.0,115.0,1.0,19.0,38.0,7.0,8.0,116.4,1.0,0.0,0.0,1.0,21.0,0.0,0.0,6.0,9.0,6.0,11.375,0.0,0.0,6.0,9.0,6.0,13.285714285714286,0.0,16.2,0.3,-0.92,Sucesso,21.0,Não,Diurno,Feminino
"
1",1.0,1.0,9147.0,1.0,135.0,1.0,19.0,1.0,9.0,9.0,122.1,1.0,0.0,0.0,1.0,20.0,0.0,0.0,5.0,6.0,5.0,12.0,0.0,0.0,5.0,6.0,5.0,12.333333333333334,0.0,16.2,0.3,-0.92,Sucesso,20.0,Não,Diurno,Feminino
"
1",51.0,1.0,9070.0,1.0,125.0,1.0,42.0,3.0,125.0,124.0,130.0,1.0,0.0,0.0,1.0,20.0,0.0,2.0,6.0,7.0,6.0,12.833333333333334,0.0,0.0,6.0,9.0,4.0,13.4,0.0,8.9,1.4,3.51,Sucesso,20.0,Não,Diurno,Masculino
"
1",18.0,1.0,8014.0,1.0,138.0,1.0,19.0,1.0,9.0,5.0,134.5,1.0,0.0,0.0,1.0,19.0,0.0,0.0,6.0,6.0,6.0,12.666666666666666,0.0,0.0,6.0,8.0,6.0,14.375,0.0,12.4,0.5,1.79,Sucesso,19.0,Não,Noturno,Feminino
"
1",1.0,1.0,9991.0,1.0,130.0,1.0,2.0,37.0,3.0,9.0,131.4,0.0,0.0,0.0,1.0,34.0,0.0,0.0,5.0,6.0,5.0,12.4,0.0,0.0,5.0,9.0,5.0,13.428571428571429,0.0,13.9,-0.3,0.79,Sucesso,34.0,Não,Noturno,Masculino
"
1",39.0,1.0,33.0,1.0,130.0,1.0,38.0,37.0,9.0,6.0,102.5,0.0,0.0,1.0,0.0,37.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,10.0,0.0,8.9,1.4,3.51,Abandono,34.0,Não,Diurno,Masculino
"
1",39.0,1.0,9119.0,10.0,133.1,1.0,34.0,37.0,0.0,0.0,128.8,1.0,0.0,0.0,1.0,43.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.6,2.6,0.32,Abandono,34.0,Não,Diurno,Masculino
"
1",43.0,1.0,9147.0,1.0,140.0,1.0,37.0,37.0,6.0,6.0,122.9,0.0,0.0,0.0,1.0,55.0,0.0,0.0,5.0,10.0,1.0,10.0,0.0,0.0,5.0,8.0,2.0,12.0,2.0,16.2,0.3,-0.92,Abandono,34.0,Não,Diurno,Feminino
"
4",39.0,1.0,9991.0,1.0,120.0,1.0,19.0,19.0,9.0,3.0,113.9,1.0,0.0,0.0,1.0,39.0,0.0,0.0,5.0,8.0,5.0,11.0,0.0,0.0,5.0,5.0,5.0,11.6,0.0,7.6,2.6,0.32,Sucesso,34.0,Não,Noturno,Feminino
"
1",44.0,1.0,9130.0,39.0,120.0,6.0,4.0,4.0,3.0,6.0,120.0,0.0,0.0,1.0,0.0,20.0,1.0,2.0,6.0,13.0,3.0,11.666666666666666,0.0,1.0,6.0,11.0,3.0,12.0,0.0,12.4,0.5,1.79,Abandono,20.0,Não,Diurno,Feminino
"
1",1.0,5.0,9773.0,1.0,126.0,1.0,3.0,3.0,2.0,2.0,121.1,0.0,0.0,1.0,1.0,18.0,0.0,0.0,6.0,6.0,4.0,12.75,0.0,0.0,5.0,5.0,0.0,0.0,0.0,12.7,3.7,-1.7,Abandono,18.0,Não,Diurno,Feminino
"
1",1.0,2.0,9147.0,1.0,133.0,1.0,3.0,19.0,2.0,7.0,120.4,1.0,0.0,0.0,1.0,22.0,0.0,0.0,5.0,5.0,5.0,14.8,0.0,0.0,5.0,5.0,5.0,15.8,0.0,8.9,1.4,3.51,Sucesso,22.0,Não,Diurno,Feminino
"
1",1.0,6.0,9500.0,1.0,103.0,1.0,1.0,3.0,2.0,2.0,100.6,1.0,1.0,0.0,1.0,22.0,0.0,0.0,7.0,9.0,5.0,13.928,0.0,0.0,8.0,9.0,7.0,14.342857142857142,0.0,11.1,0.6,2.02,Sucesso,22.0,Não,Diurno,Feminino
"
1",17.0,1.0,9773.0,1.0,120.0,1.0,1.0,38.0,5.0,5.0,121.4,0.0,0.0,0.0,0.0,20.0,0.0,0.0,6.0,7.0,4.0,13.0,0.0,0.0,6.0,7.0,5.0,13.8,0.0,12.4,0.5,1.79,Abandono,20.0,Não,Diurno,Feminino
"
1",39.0,1.0,9991.0,1.0,133.1,1.0,37.0,37.0,9.0,9.0,109.7,0.0,0.0,0.0,1.0,29.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,16.2,0.3,-0.92,Abandono,29.0,Não,Noturno,Feminino
"
1",17.0,2.0,9238.0,1.0,130.0,1.0,19.0,19.0,9.0,9.0,127.6,1.0,0.0,0.0,1.0,18.0,0.0,0.0,6.0,6.0,6.0,11.666666666666666,0.0,0.0,6.0,8.0,5.0,13.2,0.0,11.1,0.6,2.02,Sucesso,18.0,Não,Diurno,Feminino
"
1",17.0,6.0,9500.0,1.0,132.0,1.0,37.0,19.0,7.0,7.0,132.4,1.0,0.0,0.0,1.0,22.0,0.0,0.0,7.0,8.0,6.0,13.516666666666666,0.0,0.0,8.0,9.0,7.0,13.771428571428572,0.0,11.1,0.6,2.02,Sucesso,22.0,Sim,Diurno,Feminino
"
1",44.0,1.0,8014.0,39.0,130.0,1.0,1.0,19.0,9.0,9.0,133.4,0.0,0.0,0.0,1.0,21.0,0.0,3.0,6.0,6.0,6.0,11.5,0.0,2.0,6.0,7.0,6.0,13.285714285714286,0.0,12.4,0.5,1.79,Sucesso,21.0,Sim,Noturno,Feminino
"
1",1.0,1.0,9238.0,1.0,139.0,1.0,37.0,38.0,9.0,9.0,126.1,0.0,0.0,0.0,1.0,19.0,0.0,0.0,6.0,7.0,5.0,12.333333333333334,0.0,0.0,6.0,7.0,6.0,12.833333333333334,0.0,12.7,3.7,-1.7,Sucesso,19.0,Sim,Diurno,Feminino
"
1",39.0,1.0,9254.0,1.0,130.0,1.0,19.0,38.0,9.0,7.0,113.5,0.0,0.0,0.0,1.0,24.0,0.0,0.0,6.0,6.0,6.0,13.666666666666666,0.0,0.0,6.0,6.0,6.0,14.166666666666666,0.0,12.4,0.5,1.79,Sucesso,24.0,Sim,Diurno,Feminino
"
1",1.0,3.0,9130.0,1.0,167.0,1.0,37.0,37.0,90.0,90.0,159.3,0.0,0.0,0.0,1.0,19.0,0.0,0.0,5.0,7.0,5.0,14.714285714285714,0.0,0.0,5.0,5.0,5.0,15.8,0.0,7.6,2.6,0.32,Sucesso,19.0,Não,Diurno,Feminino
"
1",39.0,1.0,9991.0,1.0,130.0,1.0,38.0,38.0,9.0,9.0,120.0,0.0,0.0,0.0,1.0,27.0,0.0,0.0,5.0,12.0,5.0,10.6,0.0,0.0,5.0,10.0,5.0,11.0,0.0,9.4,-0.8,-3.12,Abandono,27.0,Não,Noturno,Feminino
"
1",1.0,1.0,9500.0,1.0,130.0,1.0,1.0,19.0,5.0,5.0,129.1,1.0,0.0,0.0,1.0,18.0,0.0,0.0,7.0,9.0,7.0,13.044444444444444,0.0,0.0,8.0,10.0,8.0,13.595,0.0,15.5,2.8,-4.06,Sucesso,18.0,Não,Diurno,Feminino
"
2",7.0,1.0,9254.0,3.0,130.0,1.0,1.0,3.0,4.0,3.0,130.0,0.0,0.0,0.0,1.0,39.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,12.4,0.5,1.79,Abandono,34.0,Não,Diurno,Feminino
"
1",39.0,1.0,9130.0,40.0,129.0,1.0,3.0,3.0,2.0,2.0,155.3,1.0,0.0,0.0,1.0,27.0,0.0,0.0,6.0,9.0,5.0,13.0,0.0,5.0,11.0,13.0,10.0,12.9,0.0,12.4,0.5,1.79,Abandono,27.0,Não,Diurno,Feminino
"
1",17.0,1.0,9500.0,1.0,141.0,1.0,38.0,38.0,7.0,10.0,139.8,1.0,0.0,0.0,1.0,18.0,0.0,0.0,8.0,8.0,8.0,14.935,0.0,0.0,8.0,8.0,8.0,14.935,0.0,9.4,-0.8,-3.12,Sucesso,18.0,Não,Diurno,Feminino
"
1",1.0,2.0,9500.0,1.0,125.0,1.0,19.0,19.0,9.0,9.0,114.9,0.0,0.0,0.0,1.0,18.0,0.0,0.0,7.0,8.0,6.0,13.133333333333333,0.0,0.0,8.0,12.0,7.0,12.221428571428572,0.0,16.2,0.3,-0.92,Sucesso,18.0,Não,Diurno,Feminino
"
1",44.0,1.0,9238.0,39.0,130.0,1.0,19.0,1.0,9.0,9.0,131.9,0.0,0.0,0.0,1.0,21.0,0.0,3.0,6.0,7.0,6.0,12.0,0.0,2.0,6.0,7.0,6.0,12.0,0.0,13.9,-0.3,0.79,Sucesso,21.0,Sim,Diurno,Feminino
"
4",42.0,1.0,9500.0,19.0,133.1,1.0,1.0,1.0,5.0,5.0,126.0,1.0,0.0,0.0,1.0,29.0,0.0,2.0,7.0,10.0,5.0,11.9,0.0,1.0,8.0,10.0,5.0,11.0,0.0,13.9,-0.3,0.79,Abandono,29.0,Não,Diurno,Masculino
"
1",1.0,3.0,171.0,1.0,139.0,1.0,19.0,19.0,5.0,3.0,128.2,1.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,1.4,1.74,Sucesso,19.0,Sim,Diurno,Masculino
"
1",44.0,1.0,9003.0,39.0,130.0,1.0,19.0,37.0,9.0,9.0,130.0,1.0,0.0,0.0,1.0,23.0,0.0,0.0,6.0,8.0,6.0,12.571428571428571,0.0,0.0,6.0,7.0,6.0,12.428571428571429,0.0,8.9,1.4,3.51,Sucesso,23.0,Não,Diurno,Masculino
"
1",1.0,3.0,9147.0,1.0,125.0,1.0,1.0,38.0,7.0,7.0,120.1,0.0,0.0,1.0,1.0,19.0,0.0,0.0,5.0,8.0,5.0,11.2,0.0,0.0,5.0,10.0,4.0,10.75,3.0,16.2,0.3,-0.92,Abandono,19.0,Não,Diurno,Masculino
"
1",17.0,1.0,9500.0,1.0,150.0,1.0,37.0,19.0,8.0,4.0,130.8,0.0,0.0,0.0,1.0,24.0,0.0,0.0,7.0,8.0,7.0,11.975,0.0,0.0,8.0,8.0,8.0,13.75,0.0,13.9,-0.3,0.79,Sucesso,24.0,Não,Diurno,Masculino
"
1",1.0,1.0,171.0,1.0,141.0,1.0,19.0,19.0,5.0,10.0,135.8,1.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,2.8,-4.06,Abandono,19.0,Não,Diurno,Masculino
"
1",17.0,4.0,9254.0,1.0,118.0,1.0,38.0,37.0,5.0,7.0,111.7,1.0,0.0,0.0,1.0,18.0,0.0,0.0,6.0,12.0,3.0,11.666666666666666,0.0,0.0,6.0,12.0,1.0,12.0,0.0,12.4,0.5,1.79,Abandono,18.0,Não,Diurno,Masculino
"
1",1.0,2.0,9773.0,1.0,142.0,1.0,38.0,38.0,9.0,9.0,132.9,1.0,0.0,0.0,1.0,18.0,0.0,0.0,6.0,8.0,6.0,12.333333333333334,0.0,0.0,6.0,11.0,3.0,12.333333333333334,0.0,10.8,1.4,1.74,Sucesso,18.0,Não,Diurno,Masculino
"
1",17.0,3.0,9147.0,1.0,120.0,1.0,19.0,19.0,4.0,7.0,115.5,1.0,0.0,1.0,1.0,18.0,0.0,0.0,5.0,8.0,3.0,10.333333333333334,0.0,0.0,5.0,11.0,3.0,10.857142857142858,0.0,10.8,1.4,1.74,Abandono,18.0,Não,Diurno,Masculino
"
1",18.0,4.0,9254.0,1.0,106.0,1.0,19.0,37.0,7.0,7.0,106.0,1.0,0.0,0.0,1.0,21.0,0.0,0.0,6.0,8.0,4.0,10.5,0.0,0.0,6.0,11.0,1.0,11.0,0.0,9.4,-0.8,-3.12,Abandono,21.0,Sim,Diurno,Masculino
"
1",17.0,4.0,9773.0,1.0,121.0,1.0,1.0,19.0,9.0,8.0,120.3,1.0,0.0,1.0,1.0,19.0,0.0,0.0,6.0,6.0,6.0,13.666666666666666,0.0,0.0,6.0,6.0,6.0,13.333333333333334,0.0,8.9,1.4,3.51,Sucesso,19.0,Sim,Diurno,Masculino
"
1",17.0,4.0,9500.0,1.0,150.0,1.0,38.0,37.0,9.0,9.0,130.8,0.0,0.0,0.0,1.0,22.0,0.0,0.0,7.0,7.0,7.0,14.842857142857142,0.0,0.0,8.0,9.0,8.0,15.055555555555555,0.0,16.2,0.3,-0.92,Sucesso,22.0,Sim,Diurno,Masculino
"
2",39.0,1.0,8014.0,1.0,120.0,1.0,37.0,37.0,9.0,6.0,117.0,0.0,0.0,0.0,1.0,33.0,0.0,0.0,6.0,8.0,6.0,12.0,0.0,0.0,6.0,6.0,6.0,11.666666666666666,0.0,10.8,1.4,1.74,Sucesso,33.0,Não,Noturno,Masculino
"
1",1.0,6.0,9853.0,1.0,114.0,1.0,19.0,19.0,9.0,9.0,110.2,1.0,0.0,0.0,1.0,20.0,0.0,0.0,6.0,8.0,5.0,12.2,0.0,0.0,6.0,7.0,5.0,12.2,0.0,10.8,1.4,1.74,Abandono,20.0,Não,Diurno,Masculino
"
1",39.0,1.0,9991.0,2.0,140.0,1.0,3.0,3.0,2.0,2.0,155.7,1.0,0.0,0.0,1.0,35.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,10.8,1.4,1.74,Abandono,34.0,Não,Noturno,Masculino
"
1",39.0,1.0,9003.0,4.0,160.0,1.0,3.0,3.0,4.0,2.0,180.4,0.0,0.0,1.0,1.0,24.0,0.0,6.0,12.0,17.0,6.0,12.166666666666666,0.0,7.0,12.0,14.0,10.0,13.3,0.0,12.4,0.5,1.79,Abandono,24.0,Não,Diurno,Masculino
"
2",39.0,1.0,8014.0,1.0,130.0,1.0,37.0,37.0,9.0,6.0,110.0,1.0,0.0,0.0,1.0,33.0,0.0,0.0,6.0,7.0,6.0,11.0,0.0,0.0,6.0,11.0,5.0,11.0,0.0,9.4,-0.8,-3.12,Sucesso,33.0,Não,Noturno,Feminino
"
1",42.0,1.0,9500.0,1.0,160.0,1.0,37.0,38.0,9.0,7.0,161.0,1.0,0.0,0.0,1.0,22.0,0.0,0.0,8.0,8.0,7.0,13.08,0.0,0.0,8.0,8.0,7.0,13.08,0.0,10.8,1.4,1.74,Sucesso,22.0,Sim,Diurno,Feminino
"
1",39.0,1.0,9670.0,1.0,120.0,1.0,1.0,19.0,4.0,5.0,100.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,5.0,7.0,4.0,10.5,0.0,0.0,5.0,7.0,5.0,11.6,0.0,9.4,-0.8,-3.12,Sucesso,25.0,Sim,Diurno,Feminino
"
1",17.0,1.0,9070.0,1.0,124.0,1.0,19.0,38.0,4.0,0.0,117.6,1.0,0.0,0.0,1.0,20.0,0.0,0.0,6.0,9.0,6.0,10.666666666666666,1.0,0.0,6.0,6.0,5.0,11.2,0.0,7.6,2.6,0.32,Sucesso,20.0,Não,Diurno,Masculino
"
1",39.0,1.0,9500.0,1.0,133.1,1.0,1.0,1.0,4.0,10.0,100.8,0.0,0.0,0.0,1.0,24.0,0.0,0.0,7.0,18.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,13.9,-0.3,0.79,Abandono,24.0,Não,Diurno,Masculino
"
1",17.0,2.0,9773.0,1.0,133.1,41.0,19.0,1.0,9.0,9.0,105.0,1.0,0.0,0.0,0.0,21.0,1.0,0.0,6.0,6.0,6.0,14.0,0.0,0.0,6.0,6.0,6.0,13.5,0.0,8.9,1.4,3.51,Sucesso,21.0,Não,Diurno,Feminino
"
1",15.0,1.0,9130.0,1.0,133.1,41.0,1.0,1.0,4.0,4.0,100.0,0.0,0.0,0.0,1.0,26.0,1.0,0.0,6.0,7.0,2.0,12.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,8.9,1.4,3.51,Abandono,26.0,Não,Diurno,Feminino
"
2",39.0,1.0,9853.0,10.0,133.1,1.0,37.0,34.0,0.0,0.0,115.5,0.0,0.0,0.0,1.0,39.0,0.0,0.0,6.0,12.0,3.0,12.666666666666666,0.0,0.0,6.0,14.0,0.0,0.0,1.0,7.6,2.6,0.32,Abandono,34.0,Não,Diurno,Feminino
"
2",39.0,1.0,8014.0,1.0,133.1,1.0,37.0,19.0,9.0,9.0,114.0,0.0,0.0,0.0,1.0,44.0,0.0,2.0,8.0,11.0,8.0,11.875,0.0,0.0,6.0,7.0,6.0,12.333333333333334,0.0,12.7,3.7,-1.7,Sucesso,34.0,Não,Noturno,Feminino
"
1",1.0,5.0,9773.0,1.0,135.0,1.0,37.0,1.0,5.0,5.0,124.9,1.0,0.0,0.0,1.0,18.0,0.0,0.0,6.0,6.0,6.0,13.666666666666666,0.0,0.0,6.0,6.0,6.0,13.333333333333334,0.0,8.9,1.4,3.51,Sucesso,18.0,Não,Diurno,Feminino
"
1",1.0,5.0,9500.0,1.0,132.0,1.0,37.0,37.0,7.0,7.0,120.3,1.0,0.0,0.0,1.0,18.0,0.0,0.0,7.0,7.0,7.0,13.75,0.0,0.0,8.0,9.0,8.0,14.47777777777778,0.0,12.4,0.5,1.79,Sucesso,18.0,Sim,Diurno,Feminino
"
1",1.0,4.0,9500.0,1.0,115.0,1.0,3.0,3.0,2.0,2.0,111.5,1.0,0.0,1.0,0.0,19.0,0.0,0.0,7.0,10.0,4.0,11.96,0.0,0.0,7.0,7.0,0.0,0.0,0.0,13.9,-0.3,0.79,Abandono,19.0,Não,Diurno,Feminino
"
1",53.0,1.0,9085.0,42.0,130.0,1.0,38.0,38.0,9.0,9.0,128.8,0.0,0.0,0.0,1.0,21.0,0.0,7.0,10.0,12.0,8.0,12.875,0.0,4.0,9.0,14.0,5.0,13.4,0.0,8.9,1.4,3.51,Abandono,21.0,Não,Diurno,Feminino
"
1",1.0,4.0,171.0,1.0,133.1,1.0,1.0,1.0,9.0,10.0,110.0,1.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,0.3,-0.92,Sucesso,20.0,Não,Diurno,Feminino
"
2",39.0,1.0,8014.0,1.0,130.0,1.0,37.0,37.0,6.0,5.0,113.5,1.0,0.0,0.0,1.0,36.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,9.4,-0.8,-3.12,Abandono,34.0,Não,Noturno,Feminino
"
4",39.0,1.0,9003.0,12.0,133.1,1.0,37.0,37.0,9.0,6.0,160.0,0.0,0.0,0.0,1.0,43.0,0.0,13.0,18.0,19.0,18.0,14.63157894736842,0.0,10.0,13.0,14.0,13.0,14.23076923076923,1.0,15.5,2.8,-4.06,Sucesso,34.0,Não,Diurno,Feminino
"
1",18.0,1.0,9853.0,1.0,123.0,1.0,19.0,19.0,9.0,7.0,117.4,1.0,0.0,0.0,1.0,19.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,11.1,0.6,2.02,Abandono,19.0,Não,Diurno,Feminino
